married,dependents,education,self_employed,applicantincome,coapplicantincome,loan_amount_term,credit_history,property_area,loanamount,prediction
Yes,2,Graduate,No,4400,0.0,360.0,0.0,Semiurban,4.852030263919617,4.738013454600684
No,0,Graduate,No,3583,0.0,360.0,1.0,Urban,4.574710978503383,4.560994089552139
Yes,0,Graduate,No,4333,2451.0,360.0,1.0,Urban,4.709530201312334,5.050576967954679
No,0,Graduate,No,2900,0.0,360.0,1.0,Rural,4.276666119016055,4.479988347043695
No,0,Graduate,No,4300,0.0,360.0,0.0,Semiurban,4.919980925828125,4.695918258380738
No,0,Graduate,No,3600,0.0,360.0,1.0,Urban,4.394449154672439,4.563144770866381
Yes,2,Graduate,Yes,5417,4196.0,360.0,1.0,Urban,5.5909869805108565,5.2101636170694405
No,1,Graduate,Yes,8624,0.0,360.0,1.0,Semiurban,5.017279836814924,5.037213530180513
Yes,0,Graduate,No,2483,2466.0,180.0,0.0,Rural,4.51085950651685,4.71096890799475
No,0,Graduate,No,4166,7210.0,360.0,1.0,Urban,5.220355825078324,5.01961474138826
Yes,0,Graduate,No,3166,0.0,360.0,1.0,Semiurban,3.6109179126442243,4.550167773225097
Yes,0,Graduate,No,2423,505.0,360.0,1.0,Semiurban,4.875197323201151,4.702097505798396
Yes,0,Graduate,No,2625,6250.0,360.0,1.0,Rural,5.236441962829949,4.87904717089649
Yes,1,Graduate,No,10750,0.0,360.0,1.0,Urban,5.746203190540153,5.1495608216250535
Yes,0,Not Graduate,No,4300,2014.0,360.0,1.0,Rural,5.272999558563747,5.009441936459924
No,0,Not Graduate,No,3748,1668.0,360.0,1.0,Semiurban,4.709530201312334,4.848096787082989
No,0,Graduate,Yes,6822,0.0,360.0,1.0,Rural,4.955827057601261,4.932038616345002
No,0,Graduate,No,3750,0.0,360.0,1.0,Urban,4.61512051684126,4.581692858316227
No,0,Graduate,No,1811,1666.0,360.0,1.0,Urban,4.007333185232471,4.576813830964593
Yes,,Graduate,Yes,5503,4490.0,,1.0,Semiurban,4.2626798770413155,5.052386266751428
Yes,0,Graduate,,3333,2500.0,360.0,1.0,Semiurban,4.859812404361672,5.043844481519888
Yes,1,Graduate,No,8300,0.0,300.0,0.0,Semiurban,5.030437921392435,5.027690912945241
Yes,0,Graduate,No,7901,1833.0,360.0,1.0,Rural,5.198497031265826,5.325884921693964
Yes,0,Graduate,No,2785,2016.0,360.0,1.0,Rural,4.709530201312334,4.856253266498863
No,0,Graduate,No,3167,0.0,360.0,1.0,Urban,4.31748811353631,4.504919716413545
No,0,Graduate,,2764,1459.0,360.0,1.0,Urban,4.709530201312334,4.889765530573985
No,0,Graduate,,6782,0.0,360.0,nan,Urban,4.709530201312334,5.0447579008823995
Yes,1,Not Graduate,No,2510,1983.0,180.0,1.0,Urban,4.948759890378168,4.6088067406087685
No,0,Graduate,No,20233,0.0,360.0,1.0,Rural,6.175867270105761,5.362745807178612
No,0,Graduate,No,9508,0.0,360.0,1.0,Rural,5.236441962829949,5.0195497235801225
No,2,Graduate,No,4354,0.0,360.0,1.0,Rural,4.919980925828125,4.635806575496995
Yes,3+,Graduate,Yes,5266,1774.0,360.0,1.0,Semiurban,5.236441962829949,5.259746286818676
No,1,Graduate,,3667,0.0,180.0,1.0,Urban,4.736198448394496,4.5579468738053786
Yes,0,Not Graduate,No,3814,1483.0,300.0,1.0,Semiurban,4.8283137373023015,4.854975809418001
Yes,3+,Graduate,No,3029,0.0,360.0,1.0,Urban,4.605170185988092,4.631632870267062
Yes,0,Graduate,No,4583,5625.0,360.0,1.0,Semiurban,5.545177444479562,5.097453092630922
Yes,1,Graduate,No,5468,1032.0,360.0,1.0,Semiurban,3.295836866004329,5.132073097029316
No,0,Graduate,No,3750,4750.0,360.0,1.0,Urban,5.176149732573829,4.953490348005161
No,0,Graduate,No,1836,33837.0,360.0,1.0,Urban,4.51085950651685,4.715253132566864
No,0,Not Graduate,No,2165,0.0,360.0,1.0,Semiurban,4.2626798770413155,4.272905449794985
Yes,2,Graduate,No,3859,0.0,360.0,1.0,Semiurban,4.574710978503383,4.611276602463461
Yes,3+,Not Graduate,Yes,7100,0.0,60.0,1.0,Urban,4.836281906951478,4.75609144676241
Yes,0,Not Graduate,No,2454,2333.0,360.0,0.0,Urban,5.204006687076795,4.813094688188576
Yes,1,Graduate,No,3326,913.0,84.0,1.0,Semiurban,4.663439094112067,4.641509891084489
No,0,Graduate,No,6000,0.0,360.0,1.0,Urban,4.955827057601261,4.795258766137005
No,1,Not Graduate,Yes,2769,1542.0,360.0,nan,Semiurban,5.25227342804663,4.866404412188947
Yes,0,Graduate,No,6133,3906.0,360.0,1.0,Urban,5.783825182329737,5.228905375498151
Yes,0,Graduate,No,3593,4266.0,180.0,0.0,Rural,4.890349128221754,4.9029169728158095
Yes,3+,Not Graduate,No,4931,0.0,360.0,nan,Semiurban,4.859812404361672,4.860966269126328
Yes,0,Graduate,,2600,3500.0,,1.0,Urban,4.7535901911063645,4.721557479461238
Yes,0,Graduate,Yes,5500,0.0,360.0,0.0,Rural,4.663439094112067,4.9617553069635525
Yes,0,Graduate,No,3859,3300.0,180.0,1.0,Rural,4.962844630259907,4.856971485896311
Yes,1,Graduate,No,2214,1398.0,360.0,nan,Urban,4.454347296253507,4.816813870755498
No,1,Graduate,No,3481,0.0,36.0,1.0,Semiurban,5.049856007249537,4.257223154821273
Yes,3+,Graduate,No,3167,4000.0,300.0,0.0,Semiurban,5.198497031265826,5.011798302758248
Yes,0,Graduate,No,2083,3150.0,360.0,1.0,Semiurban,4.859812404361672,4.713730266752807
Yes,0,Graduate,No,3366,2200.0,360.0,1.0,Rural,4.912654885736052,4.9461742558091295
Yes,1,Graduate,No,6400,7250.0,360.0,0.0,Urban,5.198497031265826,5.371376668221739
Yes,1,Not Graduate,No,5333,1131.0,360.0,nan,Urban,5.231108616854587,5.162815422983944
Yes,0,Graduate,No,2400,0.0,360.0,nan,Urban,4.330733340286331,4.5065281919693465
Yes,0,Graduate,No,1025,5500.0,360.0,nan,Rural,5.37989735354046,4.513432437717167
Yes,0,Graduate,No,3708,2569.0,360.0,1.0,Urban,5.159055299214529,4.981864207518933
Yes,1,Graduate,Yes,2395,0.0,360.0,1.0,Semiurban,4.709530201312334,4.515550782021109
Yes,0,Graduate,Yes,3459,0.0,120.0,1.0,Semiurban,3.258096538021482,4.428259445249893
Yes,2,Not Graduate,No,2889,0.0,180.0,0.0,Urban,3.828641396489095,4.348719411631678
No,2,Graduate,No,3547,0.0,360.0,0.0,Rural,4.394449154672439,4.609787428847971
Yes,0,Graduate,No,7933,0.0,360.0,1.0,Urban,5.62040086571715,4.982641813678129
No,0,Not Graduate,No,6216,0.0,360.0,1.0,Rural,4.897839799950911,4.782288926080684
