married,dependents,education,self_employed,applicantincome,coapplicantincome,loan_amount_term,credit_history,property_area,loanamount,prediction
No,1,Graduate,No,11250,0.0,360.0,nan,Semiurban,5.2832037287379885,5.161785405106824
Yes,0,Not Graduate,No,3017,663.0,360.0,nan,Semiurban,4.634728988229636,4.83664293841212
No,0,Graduate,No,1800,1213.0,360.0,1.0,Urban,3.871201010907891,4.560120413648681
No,0,Graduate,No,10000,1666.0,360.0,1.0,Rural,5.420534999272286,5.3682800224627005
Yes,0,Graduate,,2929,2333.0,360.0,1.0,Semiurban,4.941642422609304,4.98210310318376
No,,Graduate,No,5417,0.0,480.0,0.0,Urban,4.969813299576001,4.9863247431271205
,,Graduate,No,10047,0.0,240.0,1.0,Semiurban,4.709530201312334,4.898879703809409
No,0,Not Graduate,No,2213,0.0,360.0,1.0,Rural,4.204692619390966,4.3130353964001955
No,0,Not Graduate,No,2927,2405.0,360.0,1.0,Semiurban,4.718498871295094,4.751822890291187
Yes,2,Not Graduate,No,3365,1917.0,360.0,0.0,Rural,4.727387818712341,4.934167419663885
No,0,Graduate,No,2965,5701.0,60.0,1.0,Urban,5.049856007249537,4.5729420745225875
Yes,0,Graduate,Yes,39147,4750.0,360.0,1.0,Semiurban,4.795790545596741,6.128158122092572
No,0,Graduate,No,2500,0.0,360.0,1.0,Semiurban,4.02535169073515,4.382390043876125
Yes,0,Not Graduate,No,2600,1700.0,360.0,1.0,Rural,4.68213122712422,4.77341663080453
No,0,Graduate,No,3333,0.0,360.0,1.0,Urban,4.2626798770413155,4.528131505274895
Yes,,Not Graduate,No,2875,1750.0,360.0,1.0,Semiurban,4.663439094112067,4.847851890526367
Yes,0,Graduate,No,4817,923.0,180.0,1.0,Urban,4.795790545596741,4.886726961991897
Yes,1,Not Graduate,No,2600,2500.0,360.0,1.0,Semiurban,4.51085950651685,4.789003457098616
Yes,2,Graduate,No,5780,0.0,360.0,1.0,Urban,5.262690188904886,4.8099329864285085
No,0,Graduate,No,3762,1666.0,360.0,1.0,Rural,4.912654885736052,4.924031582429677
No,0,Graduate,No,2718,0.0,360.0,1.0,Semiurban,4.2626798770413155,4.420373262989985
Yes,0,Graduate,No,4180,2306.0,360.0,1.0,Semiurban,5.209486152841421,5.016481419100382
No,0,Graduate,No,5849,0.0,360.0,1.0,Urban,4.709530201312334,4.783676366239088
Yes,3+,Graduate,No,4000,7750.0,360.0,1.0,Semiurban,5.673323267171493,5.136181244629434
Yes,1,Graduate,No,3125,2583.0,360.0,1.0,Semiurban,5.14166355650266,4.918123973013071
No,0,Not Graduate,No,2346,1600.0,360.0,1.0,Semiurban,4.890349128221754,4.633409703060075
No,0,Not Graduate,Yes,5800,0.0,360.0,1.0,Semiurban,4.890349128221754,4.783995810210504
No,2,Graduate,No,4923,0.0,360.0,0.0,Semiurban,5.117993812416755,4.72857211192351
Yes,2,Not Graduate,No,2192,1742.0,360.0,1.0,Semiurban,3.828641396489095,4.637945785269351
No,0,Graduate,No,4683,1915.0,360.0,1.0,Semiurban,5.225746673713202,4.999481065005196
No,0,Not Graduate,No,3975,2531.0,360.0,1.0,Rural,4.02535169073515,4.923286548552145
No,0,Graduate,No,1853,2840.0,360.0,1.0,Rural,4.74493212836325,4.625725124495418
